Categoria,Especificação,Porcentagens,Incrementos/Decrementos,Ano
OS Version, Windows,96.1,-0.42,2024
OS Version, Windows 11 64 bit,54.96,10.72,2024
OS Version, Windows 10 64 bit,42.39,-9.04,2024
OS Version, Windows 7 64 bit,0.15,-0.44,2024
OS Version, OSX,1.61,0.07,2024
OS Version, MacOS 15.1.1 64 bit,0.52,0.41,2024
OS Version, MacOS 14.6.1 64 bit,0.13,-0.06,2024
OS Version, MacOS 15.2.0 64 bit,0.09,0.0,2024
OS Version, MacOS 14.5.0 64 bit,0.08,-0.01,2024
OS Version, MacOS 15.1.0 64 bit,0.07,0.01,2024
OS Version, MacOS 15.0.1 64 bit,0.06,-0.19,2024
OS Version, Linux,2.29,0.34,2024
OS Version," ""Arch Linux"" 64 bit",0.2,0.05,2024
OS Version, Ubuntu 24.04.1 LTS 64 bit,0.1,0.02,2024
OS Version, Linux Mint 22 64 bit,0.1,0.04,2024
OS Version, Ubuntu Core 22 64 bit,0.08,0.02,2024
OS Version," ""Manjaro Linux"" 64 bit",0.06,-0.01,2024
OS Version," ""EndeavourOS Linux"" 64 bit",0.06,0.0,2024
System RAM, Less than 4 GB,0.03,-0.06,2024
System RAM, 4 GB,2.06,-1.3,2024
System RAM, 8 GB,10.07,-3.6,2024
System RAM, 12 GB,3.01,-0.24,2024
System RAM, 16 GB,45.07,-4.53,2024
System RAM, 24 GB,1.53,0.21,2024
System RAM, 32 GB,32.08,8.37,2024
System RAM, 48 GB,0.69,0.2,2024
System RAM, 64 GB,3.94,0.57,2024
System RAM, More than 64 GB,0.44,0.12,2024
System RAM, Other,1.25,0.44,2024
Physical CPUs, 1 cpu,0.03,-0.04,2024
Physical CPUs, 2 cpus,4.12,-2.14,2024
Physical CPUs, 3 cpus,0.23,-0.04,2024
Physical CPUs, 4 cpus,17.54,-4.95,2024
Physical CPUs, 5 cpus,0.05,0.02,2024
Physical CPUs, 6 cpus,31.67,0.03,2024
Physical CPUs, 7 cpus,0.0,-0.01,2024
Physical CPUs, 8 cpus,23.59,2.7,2024
Physical CPUs, 9 cpus,0.0,0.0,2024
Physical CPUs, 10 cpus,6.09,1.95,2024
Physical CPUs, 11 cpus,0.04,0.02,2024
Physical CPUs, 12 cpus,5.78,0.64,2024
Physical CPUs, 13 cpus,0.0,0.0,2024
Physical CPUs, 14 cpus,4.49,0.69,2024
Physical CPUs, 15 cpus,0.0,0.0,2024
Physical CPUs, 16 cpus,4.5,1.43,2024
Physical CPUs, 17 cpus,0.0,0.0,2024
Physical CPUs, 18 cpus,0.04,-0.34,2024
Physical CPUs, 19 cpus,0.0,0.0,2024
Physical CPUs, 20 cpus,1.16,0.93,2024
Physical CPUs, 21 cpus,0.0,0.0,2024
Physical CPUs, 22 cpus,0.0,-0.01,2024
Physical CPUs, 23 cpus,0.0,0.0,2024
Physical CPUs, 24 cpus,2.22,0.76,2024
Physical CPUs, 26 cpus,0.0,0.0,2024
Physical CPUs, 28 cpus,0.01,-0.05,2024
Physical CPUs, 30 cpus,0.0,0.0,2024
Physical CPUs, 32 cpus,0.01,-0.01,2024
Physical CPUs, 36 cpus,0.0,-0.01,2024
Physical CPUs, 38 cpus,0.0,0.0,2024
Physical CPUs, 40 cpus,0.0,0.0,2024
Physical CPUs, 44 cpus,0.0,0.0,2024
Physical CPUs, 46 cpus,0.0,0.0,2024
Physical CPUs, 48 cpus,0.0,0.0,2024
Physical CPUs, 52 cpus,0.0,0.0,2024
Physical CPUs, 56 cpus,0.0,0.0,2024
Physical CPUs, 60 cpus,0.0,0.0,2024
Physical CPUs, 64 cpus,0.0,0.0,2024
Physical CPUs, 68 cpus,0.0,0.0,2024
Physical CPUs, 76 cpus,0.0,0.0,2024
Physical CPUs, 96 cpus,0.0,0.0,2024
Physical CPUs, 128 cpus,0.0,0.0,2024
Video Card Description, NVIDIA GeForce RTX 3060,5.88,1.05,2024
Video Card Description, NVIDIA GeForce RTX 4060 Laptop GPU,4.9,2.38,2024
Video Card Description, NVIDIA GeForce RTX 4060,4.72,3.54,2024
Video Card Description, NVIDIA GeForce GTX 1650,4.39,-0.14,2024
Video Card Description, NVIDIA GeForce RTX 4060 Ti,3.8,2.63,2024
Video Card Description, NVIDIA GeForce RTX 3060 Ti,3.59,0.26,2024
Video Card Description, NVIDIA GeForce RTX 3070,3.49,0.46,2024
Video Card Description, NVIDIA GeForce RTX 3050,3.35,0.65,2024
Video Card Description, NVIDIA GeForce RTX 3060 Laptop GPU,3.27,-0.46,2024
Video Card Description, NVIDIA GeForce RTX 2060,3.23,-0.17,2024
Video Card Description, NVIDIA GeForce RTX 4070,3.21,1.71,2024
Video Card Description, NVIDIA GeForce GTX 1060,3.06,-0.52,2024
Video Card Description, AMD Radeon Graphics,2.62,0.51,2024
Video Card Description, Intel Iris Xe Graphics,2.42,0.44,2024
Video Card Description, NVIDIA GeForce RTX 3080,2.35,0.24,2024
Video Card Description, NVIDIA GeForce GTX 1050 Ti,2.26,-0.46,2024
Video Card Description, NVIDIA GeForce GTX 1660 SUPER,2.21,-0.02,2024
Video Card Description, NVIDIA GeForce RTX 4070 SUPER,2.15,1.99,2024
Video Card Description, Intel(R) UHD Graphics,2.04,0.59,2024
Video Card Description, AMD Radeon(TM) Graphics,1.86,1.01,2024
Video Card Description, NVIDIA GeForce GTX 1660 Ti,1.6,-0.12,2024
Video Card Description, ,1.56,0.46,2024
Video Card Description, NVIDIA GeForce RTX 3070 Ti,1.53,0.1,2024
Video Card Description, NVIDIA GeForce RTX 4070 Ti,1.35,0.15,2024
Video Card Description, NVIDIA GeForce RTX 4050 Laptop GPU,1.33,0.65,2024
Video Card Description, NVIDIA GeForce RTX 2070 SUPER,1.27,0.0,2024
Video Card Description, NVIDIA GeForce GTX 1070,1.24,-0.09,2024
Video Card Description, NVIDIA GeForce RTX 2060 SUPER,1.24,0.07,2024
Video Card Description, NVIDIA GeForce RTX 4070 Laptop GPU,1.18,0.82,2024
Video Card Description, NVIDIA GeForce RTX 4090,1.16,0.25,2024
