Categoria,Especificação,Porcentagens,Incrementos/Decrementos,Ano
OS Version, Windows,96.4,0.38,2023
OS Version, Windows 10 64 bit,53.45,-10.01,2023
OS Version, Windows 11 64 bit,41.95,11.62,2023
OS Version, Windows 7 64 bit,0.68,-0.92,2023
OS Version, Windows 8.1 64 bit,0.15,-0.24,2023
OS Version, Windows 2019 64 bit,0.06,0.0,2023
OS Version, Windows 7,0.06,-0.05,2023
OS Version, OSX,1.63,-0.98,2023
OS Version, MacOS 14.1.2 64 bit,0.33,0.0,2023
OS Version, MacOS 14.1.1 64 bit,0.22,0.02,2023
OS Version, MacOS 14.0.0 64 bit,0.14,0.08,2023
OS Version, MacOS 14.2.0 64 bit,0.1,0.0,2023
OS Version, MacOS 14.2.1 64 bit,0.07,0.0,2023
OS Version, MacOS 13.6.1 64 bit,0.05,0.0,2023
OS Version, MacOS 14.1.0 64 bit,0.05,-0.13,2023
OS Version, Linux,1.97,0.59,2023
OS Version," ""Arch Linux"" 64 bit",0.15,0.02,2023
OS Version, Ubuntu 22.04.3 LTS 64 bit,0.14,0.09,2023
OS Version, Linux Mint 21.2 64 bit,0.09,0.03,2023
OS Version," ""Manjaro Linux"" 64 bit",0.07,-0.02,2023
System RAM, Less than 4 GB,0.1,-0.09,2023
System RAM, 4 GB,3.58,-2.26,2023
System RAM, 8 GB,14.1,-7.2,2023
System RAM, 12 GB,3.24,-0.32,2023
System RAM, 16 GB,48.53,-3.21,2023
System RAM, 24 GB,1.26,0.13,2023
System RAM, 32 GB,24.02,10.18,2023
System RAM, 64 GB,3.59,2.21,2023
System RAM, More than 64 GB,0.3,0.16,2023
System RAM, Other,1.29,0.41,2023
Physical CPUs, 1 cpu,0.08,-0.07,2023
Physical CPUs, 2 cpus,6.57,-3.38,2023
Physical CPUs, 3 cpus,0.28,-0.11,2023
Physical CPUs, 4 cpus,22.82,-6.69,2023
Physical CPUs, 5 cpus,0.03,0.01,2023
Physical CPUs, 6 cpus,32.11,0.03,2023
Physical CPUs, 7 cpus,0.01,-0.01,2023
Physical CPUs, 8 cpus,20.43,0.88,2023
Physical CPUs, 9 cpus,0.0,-0.01,2023
Physical CPUs, 10 cpus,4.07,2.16,2023
Physical CPUs, 11 cpus,0.01,0.01,2023
Physical CPUs, 12 cpus,5.15,1.73,2023
Physical CPUs, 13 cpus,0.0,0.0,2023
Physical CPUs, 14 cpus,3.35,1.64,2023
Physical CPUs, 15 cpus,0.0,0.0,2023
Physical CPUs, 16 cpus,2.97,1.91,2023
Physical CPUs, 18 cpus,0.54,0.52,2023
Physical CPUs, 19 cpus,0.0,0.0,2023
Physical CPUs, 20 cpus,0.17,0.16,2023
Physical CPUs, 22 cpus,0.02,0.02,2023
Physical CPUs, 23 cpus,0.0,0.0,2023
Physical CPUs, 24 cpus,1.22,1.04,2023
Physical CPUs, 26 cpus,0.0,0.0,2023
Physical CPUs, 28 cpus,0.13,0.13,2023
Physical CPUs, 30 cpus,0.0,0.0,2023
Physical CPUs, 31 cpus,0.0,0.0,2023
Physical CPUs, 32 cpus,0.02,0.01,2023
Physical CPUs, 36 cpus,0.01,0.01,2023
Physical CPUs, 38 cpus,0.0,0.0,2023
Physical CPUs, 40 cpus,0.0,0.0,2023
