Categoria, Especificação, Porcentagens, Incrementos/Decrementos, Mês, Ano
OS Version, Windows, 96.09%, -0.02%, Janeiro, 2020
OS Version, Windows 10 64 bit, 79.23%, +7.58%, Janeiro, 2020
OS Version, Windows 7 64 bit, 13.56%, -7.52%, Janeiro, 2020
OS Version, Windows 8.1 64 bit, 2.22%, 0.00%, Janeiro, 2020
OS Version, Windows 7, 0.68%, -0.06%, Janeiro, 2020
OS Version, Windows 8 64 bit, 0.16%, -0.02%, Janeiro, 2020
OS Version, Windows 10, 0.15%, -0.01%, Janeiro, 2020
OS Version, OSX, 3.01%, -0.05%, Janeiro, 2020
OS Version, MacOS 10.15.2 64 bit, 0.87%, +0.66%, Janeiro, 2020
OS Version, MacOS 10.14.6 64 bit, 0.82%, -0.07%, Janeiro, 2020
OS Version, MacOS 10.13.6 64 bit, 0.42%, -0.03%, Janeiro, 2020
OS Version, MacOS 10.15.1 64 bit, 0.20%, -0.46%, Janeiro, 2020
OS Version, MacOS 10.12.6 64 bit, 0.16%, -0.01%, Janeiro, 2020
OS Version, MacOS 10.14.5 64 bit, 0.12%, -0.03%, Janeiro, 2020
OS Version, MacOS 10.11.6 64 bit, 0.10%, -0.01%, Janeiro, 2020
OS Version, MacOS 10.15.0 64 bit, 0.06%, -0.04%, Janeiro, 2020
OS Version, Linux, 0.90%, +0.07%, Janeiro, 2020
OS Version, Ubuntu 18.04.3 LTS 64 bit, 0.20%, +0.02%, Janeiro, 2020
OS Version, "Arch Linux" 64 bit, 0.10%, +0.01%, Janeiro, 2020
OS Version, Ubuntu 19.10 64 bit, 0.09%, +0.01%, Janeiro, 2020
OS Version, "Manjaro Linux" 64 bit, 0.09%, +0.01%, Janeiro, 2020
OS Version, Linux Mint 19.3 Tricia 64 bit, 0.05%, +0.05%, Janeiro, 2020
System RAM, Less than 2 GB, 0.12%, -0.01%, Janeiro, 2020
System RAM, 2 GB, 0.72%, -0.05%, Janeiro, 2020
System RAM, 3 GB, 2.25%, -0.17%, Janeiro, 2020
System RAM, 4 GB, 7.49%, +0.17%, Janeiro, 2020
System RAM, 5 GB, 0.37%, -0.02%, Janeiro, 2020
System RAM, 6 GB, 2.33%, +0.08%, Janeiro, 2020
System RAM, 7 GB, 2.40%, -0.07%, Janeiro, 2020
System RAM, 8 GB, 34.97%, +1.87%, Janeiro, 2020
System RAM, 9 GB, 0.03%, 0.00%, Janeiro, 2020
System RAM, 10 GB, 0.30%, +0.03%, Janeiro, 2020
System RAM, 11 GB, 0.19%, -0.02%, Janeiro, 2020
System RAM, 12 GB, 3.09%, +0.03%, Janeiro, 2020
System RAM, 13 GB, 0.01%, -0.01%, Janeiro, 2020
System RAM, 14 GB, 0.23%, +0.03%, Janeiro, 2020
System RAM, 15 GB, 0.43%, -0.42%, Janeiro, 2020
System RAM, 16 GB, 38.27%, -2.25%, Janeiro, 2020
System RAM, More than 16 GB, 6.80%, +0.82%, Janeiro, 2020
Physical CPUs, 1 cpu, 0.53%, -0.10%, Janeiro, 2020
Physical CPUs, 2 cpus, 21.57%, +0.17%, Janeiro, 2020
Physical CPUs, 3 cpus, 1.39%, +0.07%, Janeiro, 2020
