Categoria,Especificação,Porcentagens,Incrementos/Decrementos,Mês,Ano
OS Version,Windows,94.62%,+0.39%,Janeiro,2026
OS Version,Windows 11 64 bit,66.71%,+0.11%,Janeiro,2026
OS Version,Windows 10 64 bit,27.79%,+0.28%,Janeiro,2026
OS Version,Windows 7 64 bit,0.08%,0.00%,Janeiro,2026
OS Version,OSX,2.01%,-0.17%,Janeiro,2026
OS Version,MacOS 26.2.0 64 bit,0.56%,+0.39%,Janeiro,2026
OS Version,MacOS 26.1.0 64 bit,0.28%,-0.37%,Janeiro,2026
OS Version,MacOS 15.6.1 64 bit,0.23%,-0.12%,Janeiro,2026
OS Version,MacOS 15.7.3 64 bit,0.14%,+0.14%,Janeiro,2026
OS Version,MacOS 15.5.0 64 bit,0.10%,-0.02%,Janeiro,2026
OS Version,MacOS 15.6.0 64 bit,0.07%,-0.03%,Janeiro,2026
OS Version,MacOS 26.0.1 64 bit,0.05%,-0.02%,Janeiro,2026
OS Version,Linux,3.38%,-0.20%,Janeiro,2026
OS Version,"Arch Linux" 64 bit,0.31%,-0.03%,Janeiro,2026
OS Version,Linux Mint 22.2 64 bit,0.22%,-0.06%,Janeiro,2026
OS Version,Ubuntu Core 24 64 bit,0.13%,+0.01%,Janeiro,2026
OS Version,Ubuntu 24.04.3 LTS 64 bit,0.13%,-0.01%,Janeiro,2026
OS Version,Linux Mint 22.3 64 bit,0.08%,+0.08%,Janeiro,2026
OS Version,"Fedora Linux 43 (KDE Plasma Desktop Edition)" 64 bit,0.07%,0.00%,Janeiro,2026
OS Version,"EndeavourOS Linux" 64 bit,0.06%,-0.02%,Janeiro,2026
OS Version,"Nobara Linux 43 (KDE Plasma Desktop Edition)" 64 bit,0.06%,+0.06%,Janeiro,2026
OS Version,Debian GNU/Linux 13 (trixie) 64 bit,0.06%,0.00%,Janeiro,2026
OS Version,"Manjaro Linux" 64 bit,0.06%,0.00%,Janeiro,2026
OS Version,Ubuntu 25.10 64 bit,0.05%,+0.05%,Janeiro,2026
System RAM,Less than 4 GB,0.02%,0.00%,Janeiro,2026
System RAM,4 GB,1.52%,-0.07%,Janeiro,2026
System RAM,8 GB,7.78%,-0.44%,Janeiro,2026
System RAM,12 GB,2.46%,-0.17%,Janeiro,2026
System RAM,16 GB,40.24%,-0.53%,Janeiro,2026
System RAM,24 GB,1.83%,-0.07%,Janeiro,2026
System RAM,28 GB,0.52%,-0.04%,Janeiro,2026
System RAM,32 GB,38.02%,+1.45%,Janeiro,2026
System RAM,48 GB,1.19%,-0.01%,Janeiro,2026
System RAM,60 GB,0.92%,+0.04%,Janeiro,2026
System RAM,64 GB,4.26%,-0.08%,Janeiro,2026
System RAM,More than 64 GB,0.61%,-0.03%,Janeiro,2026
System RAM,Other,0.63%,-0.05%,Janeiro,2026
Physical CPUs,1 cpu,0.02%,0.00%,Janeiro,2026
Physical CPUs,2 cpus,3.16%,-0.19%,Janeiro,2026
Physical CPUs,3 cpus,0.11%,0.00%,Janeiro,2026
Physical CPUs,4 cpus,13.43%,-0.77%,Janeiro,2026
Physical CPUs,5 cpus,0.14%,-0.01%,Janeiro,2026
Physical CPUs,6 cpus,28.45%,+0.17%,Janeiro,2026
Physical CPUs,7 cpus,0.01%,0.00%,Janeiro,2026
Physical CPUs,8 cpus,26.67%,-0.10%,Janeiro,2026
Physical CPUs,9 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,10 cpus,7.63%,+0.67%,Janeiro,2026
Physical CPUs,11 cpus,0.04%,-0.01%,Janeiro,2026
Physical CPUs,12 cpus,5.25%,-0.09%,Janeiro,2026
Physical CPUs,13 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,14 cpus,4.91%,+0.07%,Janeiro,2026
Physical CPUs,15 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,16 cpus,5.43%,+0.08%,Janeiro,2026
Physical CPUs,17 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,18 cpus,0.05%,0.00%,Janeiro,2026
Physical CPUs,19 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,20 cpus,2.00%,+0.13%,Janeiro,2026
Physical CPUs,21 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,22 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,23 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,24 cpus,2.67%,+0.04%,Janeiro,2026
Physical CPUs,26 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,27 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,28 cpus,0.01%,0.00%,Janeiro,2026
Physical CPUs,30 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,32 cpus,0.01%,0.00%,Janeiro,2026
Physical CPUs,36 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,40 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,44 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,48 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,52 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,56 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,64 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,72 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,80 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,96 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,112 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,120 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,128 cpus,0.00%,0.00%,Janeiro,2026
Physical CPUs,192 cpus,0.00%,0.00%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1650 SUPER,0.29%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 2050,0.45%,0.00%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 5090,0.37%,+0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3070 Ti Laptop GPU,0.24%,-0.01%,Janeiro,2026
Video Card Description,AMD Radeon 780M Graphics,0.32%,-0.01%,Janeiro,2026
Video Card Description,Intel UHD Graphics 620,0.45%,-0.04%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 960,0.19%,-0.01%,Janeiro,2026
Video Card Description,,1.78%,-0.15%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3060 Ti,2.38%,+0.03%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4060 Ti,2.61%,+0.09%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4070,2.02%,+0.06%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4060 Laptop GPU,3.79%,-0.05%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 5060,2.37%,+0.68%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 5070,2.72%,+0.44%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1050,0.61%,-0.03%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4070 SUPER,1.61%,+0.02%,Janeiro,2026
Video Card Description,Intel(R) Arc(TM) Graphics,0.26%,0.00%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3050,2.88%,-0.03%,Janeiro,2026
Video Card Description,Intel(R) UHD Graphics,1.74%,-0.07%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 5060 Ti,1.50%,+0.24%,Janeiro,2026
Video Card Description,AMD Radeon RX 6800,0.20%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1660 SUPER,1.44%,-0.06%,Janeiro,2026
Video Card Description,Intel HD Graphics 4600,0.17%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 5070 Ti,1.43%,+0.23%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3060,4.11%,+0.04%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3060 Laptop GPU,1.95%,-0.11%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1650 Ti,0.40%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3070,2.19%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3050 6GB Laptop GPU,0.53%,+0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 5080,1.19%,+0.12%,Janeiro,2026
Video Card Description,AMD Radeon RX 6600 XT,0.33%,-0.01%,Janeiro,2026
Video Card Description,AMD Radeon RX 7800 XT,1.05%,+0.12%,Janeiro,2026
Video Card Description,AMD Radeon RX 6750 XT,0.32%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1050 Ti,1.27%,-0.08%,Janeiro,2026
Video Card Description,AMD Radeon RX 7700 XT,0.24%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4070 Ti,0.98%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1070 Ti,0.22%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3070 Ti,1.02%,0.00%,Janeiro,2026
Video Card Description,Intel HD Graphics 520,0.22%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 2060,1.84%,-0.07%,Janeiro,2026
Video Card Description,AMD Radeon RX 550,0.21%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 5060 Laptop GPU,0.85%,+0.04%,Janeiro,2026
Video Card Description,AMD Radeon Vega 8 Graphics,0.35%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1060,1.68%,-0.06%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4080 Laptop GPU,0.19%,-0.01%,Janeiro,2026
Video Card Description,AMD Radeon RX 6600,0.84%,-0.02%,Janeiro,2026
Video Card Description,Intel UHD Graphics 630,0.28%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4050 Laptop GPU,1.47%,+0.01%,Janeiro,2026
Video Card Description,AMD Radeon Vega 3 Graphics,0.19%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.79%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3090,0.41%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1650,2.63%,-0.16%,Janeiro,2026
Video Card Description,AMD Radeon RX 570,0.38%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4090,0.76%,-0.04%,Janeiro,2026
Video Card Description,AMD Radeon Graphics,1.85%,-0.14%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.77%,-0.03%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1080 Ti,0.35%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3080,1.50%,-0.07%,Janeiro,2026
Video Card Description,AMD Radeon RX 6700 XT,0.57%,-0.03%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4080 SUPER,0.68%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3070 Laptop GPU,0.47%,-0.03%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4070 Ti SUPER,0.78%,+0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 2070,0.50%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0.66%,-0.03%,Janeiro,2026
Video Card Description,AMD Radeon RX 6650 XT,0.27%,-0.02%,Janeiro,2026
Video Card Description,Intel Iris Xe Graphics,1.71%,-0.09%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 2080 SUPER,0.29%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1070,0.69%,-0.05%,Janeiro,2026
Video Card Description,AMD Radeon RX 6800 XT,0.24%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4070 Laptop GPU,0.99%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce GT 1030,0.23%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3080 Ti,0.58%,-0.04%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 3050 Laptop GPU,0.38%,-0.04%,Janeiro,2026
Video Card Description,AMD Radeon RX 580,0.58%,-0.03%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 970,0.22%,-0.02%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4080,0.67%,-0.03%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.25%,-0.02%,Janeiro,2026
Video Card Description,AMD Radeon RX 580 2048SP,0.57%,-0.01%,Janeiro,2026
Video Card Description,AMD Radeon RX 6500 XT,0.19%,0.00%,Janeiro,2026
Video Card Description,AMD Radeon(TM) Graphics,2.15%,-0.06%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 750 Ti,0.19%,0.00%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.95%,-0.05%,Janeiro,2026
Video Card Description,Intel HD Graphics 620,0.21%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA Graphics Device,1.21%,+0.12%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 2080,0.25%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1660,0.50%,-0.03%,Janeiro,2026
Video Card Description,AMD Raphael,0.16%,0.00%,Janeiro,2026
Video Card Description,AMD Radeon RX 7600 XT,0.59%,+0.08%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 5070 Ti Laptop GPU,0.27%,+0.03%,Janeiro,2026
Video Card Description,AMD Radeon RX 7900 XTX,0.48%,-0.03%,Janeiro,2026
Video Card Description,AMD Radeon RX 6900 XT,0.17%,-0.01%,Janeiro,2026
Video Card Description,NVIDIA GeForce GTX 1080,0.45%,-0.03%,Janeiro,2026
Video Card Description,AMD Radeon (TM) Graphics,0.38%,-0.02%,Janeiro,2026
Video Card Description,AMD AMD Custom GPU 0405,0.41%,-0.07%,Janeiro,2026
Video Card Description,NVIDIA GeForce GT 730,0.16%,-0.01%,Janeiro,2026
Video Card Description,AMD Radeon RX 5700 XT,0.57%,-0.03%,Janeiro,2026
Video Card Description,Intel(R) Graphics,0.28%,0.00%,Janeiro,2026
Video Card Description,AMD Radeon Graphics (RADV VANGOGH),0.40%,-0.05%,Janeiro,2026
Video Card Description,NVIDIA GeForce RTX 4060,4.16%,+0.46%,Janeiro,2026
Video Card Description,Other,9.33%,-0.23%,Janeiro,2026
VRAM,512 MB,4.27%,-3.50%,Janeiro,2026
VRAM,1 GB,3.46%,+0.19%,Janeiro,2026
VRAM,2 GB,5.37%,+0.64%,Janeiro,2026
VRAM,3 GB,1.34%,+0.48%,Janeiro,2026
VRAM,4 GB,6.71%,+0.80%,Janeiro,2026
VRAM,6 GB,9.26%,-0.74%,Janeiro,2026
VRAM,8 GB,29.57%,-3.11%,Janeiro,2026
VRAM,10 GB,2.11%,-0.27%,Janeiro,2026
VRAM,11 GB,1.20%,+0.09%,Janeiro,2026
VRAM,12 GB,15.07%,-4.01%,Janeiro,2026
VRAM,16 GB,14.55%,+5.85%,Janeiro,2026
VRAM,20 GB,0.64%,+0.64%,Janeiro,2026
VRAM,24 GB,3.85%,+1.56%,Janeiro,2026
VRAM,32 GB,0.87%,+0.25%,Janeiro,2026
VRAM,Other,1.72%,+1.12%,Janeiro,2026
Primary Display Resolution,800 x 1280,0.51%,-0.11%,Janeiro,2026
Primary Display Resolution,1280 x 720,0.21%,-0.02%,Janeiro,2026
Primary Display Resolution,1280 x 1024,0.22%,-0.01%,Janeiro,2026
Primary Display Resolution,1280 x 800,0.36%,-0.01%,Janeiro,2026
Primary Display Resolution,1360 x 768,0.44%,-0.03%,Janeiro,2026
Primary Display Resolution,1366 x 768,2.37%,-0.16%,Janeiro,2026
Primary Display Resolution,1440 x 900,0.79%,-0.05%,Janeiro,2026
Primary Display Resolution,1470 x 956,0.39%,-0.01%,Janeiro,2026
Primary Display Resolution,1512 x 982,0.28%,-0.03%,Janeiro,2026
Primary Display Resolution,1600 x 900,0.70%,-0.04%,Janeiro,2026
Primary Display Resolution,1680 x 1050,0.44%,-0.03%,Janeiro,2026
Primary Display Resolution,1920 x 1200,2.18%,-0.04%,Janeiro,2026
Primary Display Resolution,1920 x 1080,52.59%,+0.01%,Janeiro,2026
Primary Display Resolution,2560 x 1440,21.32%,+0.73%,Janeiro,2026
Primary Display Resolution,2560 x 1600,4.81%,-0.02%,Janeiro,2026
Primary Display Resolution,2560 x 1080,0.75%,-0.04%,Janeiro,2026
Primary Display Resolution,2880 x 1800,0.45%,-0.03%,Janeiro,2026
Primary Display Resolution,3440 x 1440,3.10%,-0.02%,Janeiro,2026
