Categoria, Especificação, Porcentagens, Incrementos/Decrementos, Mês, Ano
OS Version, Windows, 93.85%, +0.38%, Janeiro, 2022
OS Version, Windows 11 64 bit, 69.76%, +2.02%, Janeiro, 2022
OS Version, Windows 10 64 bit, 23.99%, -1.64%, Janeiro, 2022
OS Version, Windows 7 64 bit, 0.07%, 0.00%, Janeiro, 2022
OS Version, OSX, 2.16%, +0.15%, Janeiro, 2022
OS Version, MacOS 26.4.1 64 bit, 0.46%, +0.26%, Janeiro, 2022
OS Version, MacOS 26.3.1 64 bit, 0.36%, -0.13%, Janeiro, 2022
OS Version, MacOS 26.5.0 64 bit, 0.27%, +0.27%, Janeiro, 2022
OS Version, MacOS 26.2.0 64 bit, 0.11%, -0.01%, Janeiro, 2022
OS Version, MacOS 26.3.0 64 bit, 0.10%, -0.01%, Janeiro, 2022
OS Version, MacOS 15.7.4 64 bit, 0.09%, -0.01%, Janeiro, 2022
OS Version, MacOS 15.6.1 64 bit, 0.07%, 0.00%, Janeiro, 2022
OS Version, MacOS 26.4.0 64 bit, 0.06%, -0.21%, Janeiro, 2022
OS Version, MacOS 15.7.3 64 bit, 0.06%, 0.00%, Janeiro, 2022
OS Version, Linux, 3.99%, -0.53%, Janeiro, 2022
OS Version, SteamOS Holo 64 bit, 0.93%, +0.09%, Janeiro, 2022
OS Version, CachyOS 64 bit, 0.53%, +0.23%, Janeiro, 2022
OS Version, Arch Linux 64 bit, 0.35%, +0.03%, Janeiro, 2022
OS Version, Linux Mint 22.3 64 bit, 0.31%, +0.04%, Janeiro, 2022
OS Version, Bazzite 64 bit, 0.29%, +0.12%, Janeiro, 2022
OS Version, Freedesktop SDK 25.08 (Flatpak runtime) 64 bit, 0.22%, +0.07%, Janeiro, 2022
OS Version, Ubuntu Core 24 64 bit, 0.14%, +0.01%, Janeiro, 2022
OS Version, Ubuntu 24.04.4 LTS 64 bit, 0.11%, +0.02%, Janeiro, 2022
OS Version, Nobara Linux 43 (KDE Plasma Desktop Edition) 64 bit, 0.08%, +0.08%, Janeiro, 2022
OS Version, Debian GNU/Linux 13 (trixie) 64 bit, 0.07%, +0.02%, Janeiro, 2022
OS Version, EndeavourOS Linux 64 bit, 0.07%, +0.07%, Janeiro, 2022
OS Version, Ubuntu 26.04 LTS 64 bit, 0.07%, +0.07%, Janeiro, 2022
OS Version, Fedora Linux 44 (KDE Plasma Desktop Edition) 64 bit, 0.06%, +0.06%, Janeiro, 2022
OS Version, Pop!_OS 24.04 LTS 64 bit, 0.06%, +0.06%, Janeiro, 2022
OS Version, Fedora Linux 43 (KDE Plasma Desktop Edition) 64 bit, 0.06%, 0.00%, Janeiro, 2022
OS Version, Manjaro Linux 64 bit, 0.05%, 0.00%, Janeiro, 2022
System RAM, Less than 4 GB, 0.02%, 0.00%, Janeiro, 2022
System RAM, 4 GB, 1.48%, +0.02%, Janeiro, 2022
System RAM, 8 GB, 7.82%, +0.16%, Janeiro, 2022
System RAM, 12 GB, 2.54%, +0.08%, Janeiro, 2022
System RAM, 16 GB, 41.14%, +0.28%, Janeiro, 2022
System RAM, 24 GB, 2.06%, +0.09%, Janeiro, 2022
System RAM, 28 GB, 0.54%, -0.01%, Janeiro, 2022
System RAM, 32 GB, 36.87%, -0.68%, Janeiro, 2022
System RAM, 48 GB, 1.17%, -0.03%, Janeiro, 2022
System RAM, 60 GB, 0.97%, +0.03%, Janeiro, 2022
System RAM, 64 GB, 4.14%, +0.04%, Janeiro, 2022
System RAM, More than 64 GB, 0.62%, +0.01%, Janeiro, 2022
System RAM, Other, 0.63%, +0.01%, Janeiro, 2022
Physical CPUs, 1 cpu, 0.02%, 0.00%, Janeiro, 2022
Physical CPUs, 2 cpus, 3.11%, +0.07%, Janeiro, 2022
Physical CPUs, 3 cpus, 0.09%, -0.01%, Janeiro, 2022
Physical CPUs, 4 cpus, 13.26%, +0.24%, Janeiro, 2022
