Categoria, Especificação, Porcentagens, Incrementos/Decrementos, Mês, Ano
OS Version, Windows, 96.52%, +0.12%, Janeiro, 2024
OS Version, Windows 10 64 bit, 51.43%, -2.02%, Janeiro, 2024
OS Version, Windows 11 64 bit, 44.24%, +2.29%, Janeiro, 2024
OS Version, Windows 7 64 bit, 0.59%, -0.09%, Janeiro, 2024
OS Version, Windows 8.1 64 bit, 0.13%, -0.02%, Janeiro, 2024
OS Version, Windows 7, 0.05%, -0.01%, Janeiro, 2024
OS Version, OSX, 1.54%, -0.09%, Janeiro, 2024
OS Version, MacOS 14.2.1 64 bit, 0.45%, +0.38%, Janeiro, 2024
OS Version, MacOS 14.1.2 64 bit, 0.14%, -0.19%, Janeiro, 2024
OS Version, MacOS 14.0.0 64 bit, 0.10%, -0.04%, Janeiro, 2024
OS Version, MacOS 14.1.1 64 bit, 0.08%, -0.14%, Janeiro, 2024
OS Version, MacOS 14.3.0 64 bit, 0.06%, +0.06%, Janeiro, 2024
OS Version, Linux, 1.95%, -0.02%, Janeiro, 2024
OS Version, "Arch Linux" 64 bit, 0.15%, 0.00%, Janeiro, 2024
OS Version, Ubuntu 22.04.3 LTS 64 bit, 0.13%, -0.01%, Janeiro, 2024
OS Version, Linux Mint 21.2 64 bit, 0.07%, -0.02%, Janeiro, 2024
OS Version, "Manjaro Linux" 64 bit, 0.07%, 0.00%, Janeiro, 2024
System RAM, Less than 4 GB, 0.09%, -0.01%, Janeiro, 2024
System RAM, 4 GB, 3.36%, -0.22%, Janeiro, 2024
System RAM, 8 GB, 13.67%, -0.43%, Janeiro, 2024
System RAM, 12 GB, 3.25%, +0.01%, Janeiro, 2024
System RAM, 16 GB, 49.60%, +1.07%, Janeiro, 2024
System RAM, 24 GB, 1.32%, +0.06%, Janeiro, 2024
System RAM, 32 GB, 23.71%, -0.31%, Janeiro, 2024
System RAM, 48 GB, 0.49%, +0.49%, Janeiro, 2024
System RAM, 64 GB, 3.37%, -0.22%, Janeiro, 2024
System RAM, More than 64 GB, 0.32%, +0.02%, Janeiro, 2024
System RAM, Other, 0.81%, -0.48%, Janeiro, 2024
Physical CPUs, 1 cpu, 0.07%, -0.01%, Janeiro, 2024
Physical CPUs, 2 cpus, 6.26%, -0.31%, Janeiro, 2024
Physical CPUs, 3 cpus, 0.27%, -0.01%, Janeiro, 2024
Physical CPUs, 4 cpus, 22.49%, -0.33%, Janeiro, 2024
Physical CPUs, 5 cpus, 0.03%, 0.00%, Janeiro, 2024
Physical CPUs, 6 cpus, 31.64%, -0.47%, Janeiro, 2024
Physical CPUs, 7 cpus, 0.01%, 0.00%, Janeiro, 2024
Physical CPUs, 8 cpus, 20.89%, +0.46%, Janeiro, 2024
Physical CPUs, 9 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 10 cpus, 4.14%, +0.07%, Janeiro, 2024
Physical CPUs, 11 cpus, 0.02%, +0.01%, Janeiro, 2024
Physical CPUs, 12 cpus, 5.14%, -0.01%, Janeiro, 2024
Physical CPUs, 13 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 14 cpus, 3.80%, +0.45%, Janeiro, 2024
Physical CPUs, 15 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 16 cpus, 3.07%, +0.10%, Janeiro, 2024
Physical CPUs, 17 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 18 cpus, 0.38%, -0.16%, Janeiro, 2024
Physical CPUs, 19 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 20 cpus, 0.23%, +0.06%, Janeiro, 2024
Physical CPUs, 22 cpus, 0.01%, -0.01%, Janeiro, 2024
Physical CPUs, 23 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 24 cpus, 1.46%, +0.24%, Janeiro, 2024
Physical CPUs, 26 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 28 cpus, 0.06%, -0.07%, Janeiro, 2024
Physical CPUs, 30 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 32 cpus, 0.02%, 0.00%, Janeiro, 2024
Physical CPUs, 36 cpus, 0.01%, 0.00%, Janeiro, 2024
Physical CPUs, 40 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 44 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 48 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 56 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 64 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 66 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 72 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 120 cpus, 0.00%, 0.00%, Janeiro, 2024
Physical CPUs, 192 cpus, 0.00%, 0.00%, Janeiro, 2024
Video Card Description, NVIDIA GeForce RTX 3060, 4.83%, -0.30%, Janeiro, 2024
